vf	x	y	z
v	2.18E+00	-2.95E+00	3.87E+00
v	-2.25E+00	-3.79E+00	5.29E-01
v	-1.57E+00	-3.88E+00	-4.53E-01
v	-9.37E-02	-3.80E+00	-4.18E-01
v	-1.16E-01	-3.08E+00	9.42E-01
v	-7.39E-01	-2.97E+00	1.67E+00
v	-1.62E+00	-3.33E+00	1.52E+00
v	-3.32E+00	-2.92E+00	2.64E+00
v	-1.50E+00	-2.98E+00	2.68E+00
v	-3.95E+00	-3.12E+00	2.00E+00
v	-3.12E+00	-3.50E+00	1.42E+00
v	-2.34E+00	-2.51E+00	3.45E+00
v	1.03E+01	-1.68E+00	-4.48E+00
v	1.13E+01	-2.77E+00	-4.27E+00
v	1.20E+01	-2.61E+00	-3.45E+00
v	1.20E+01	-6.20E-01	-3.19E+00
v	1.08E+01	-4.25E-01	-3.87E+00
v	1.25E+01	-1.47E+00	-3.06E+00
v	8.35E+00	-1.43E+00	-5.22E+00
v	9.00E+00	-2.54E+00	-5.21E+00
v	9.96E+00	-2.58E+00	-4.90E+00
v	1.15E+01	-6.02E+00	-3.96E+00
v	9.85E+00	-6.22E+00	-3.95E+00
v	1.13E+01	-4.76E+00	-4.41E+00
v	1.06E+01	-6.77E+00	-3.43E+00
v	1.42E+00	-3.08E+00	-4.08E+00
v	2.20E+00	-2.66E+00	-4.71E+00
v	3.51E+00	-3.90E+00	-3.85E+00
v	1.35E+00	-3.90E+00	-2.75E+00
v	6.25E-01	-3.28E+00	-3.51E+00
v	2.95E+00	-3.28E+00	-4.26E+00
v	2.95E+00	-4.22E+00	-3.10E+00
v	2.33E+00	-4.36E+00	-2.41E+00
v	-9.20E+00	5.86E+00	-1.42E+00
v	-8.55E+00	5.69E+00	-2.12E+00
v	-6.97E+00	6.05E+00	-2.44E+00
v	-6.86E+00	6.85E+00	-1.38E+00
v	-7.65E+00	6.84E+00	-3.21E-01
v	-6.25E+00	6.73E+00	-2.07E+00
v	-8.67E+00	6.37E+00	-6.16E-01
v	-1.40E+01	-3.26E-01	-3.75E+00
v	-1.62E+01	-3.70E-01	-2.59E+00
v	-1.45E+01	5.19E-01	-3.22E+00
v	-1.54E+01	6.71E-01	-2.46E+00
v	-8.61E+00	-4.57E-01	-4.83E+00
v	-9.37E+00	8.02E-01	-4.76E+00
v	-1.01E+01	-1.67E+00	-3.78E+00
v	-1.16E+01	-4.19E-01	-4.30E+00
v	-1.08E+01	-1.00E+00	-4.18E+00
v	-9.17E+00	-1.33E+00	-4.30E+00
v	-7.19E+00	-5.67E-01	-5.02E+00
v	-7.01E+00	-1.96E+00	-4.06E+00
v	-8.55E+00	-1.88E+00	-3.98E+00
v	-7.78E+00	1.68E-01	-5.12E+00
v	-6.15E+00	-1.41E+00	-4.57E+00
v	-7.80E+00	-2.44E+00	-3.46E+00
v	-5.48E+00	-2.02E+00	-4.11E+00
v	-4.73E+00	-2.84E-01	-5.34E+00
v	-3.95E+00	-9.81E-01	-5.18E+00
v	-3.95E+00	-2.13E+00	-4.21E+00
v	-4.70E+00	-2.55E+00	-3.60E+00
v	-5.48E+00	-8.30E-01	-5.04E+00
v	-3.17E+00	-1.67E+00	-4.80E+00
v	1.45E+01	-5.85E+00	-1.56E+00
v	1.37E+01	-7.15E+00	-1.56E+00
v	1.48E+01	-5.99E+00	6.20E-01
v	1.40E+01	-7.25E+00	6.24E-01
v	1.36E+01	-7.68E+00	-3.53E-01
v	1.48E+01	-5.68E+00	-3.82E-01
v	1.34E+01	4.99E-01	1.30E+00
v	1.26E+01	5.48E-01	2.20E+00
v	1.42E+01	-3.77E-01	7.07E-01
v	1.39E+01	-1.26E+00	1.67E+00
v	1.32E+01	-1.29E+00	2.66E+00
v	1.25E+01	-1.50E-01	2.68E+00
v	-8.16E-01	-2.25E+00	-4.44E+00
v	-9.07E-01	-1.39E+00	-5.29E+00
v	6.36E-01	-1.30E+00	-5.55E+00
v	7.28E-01	-2.52E+00	-4.57E+00
v	-1.87E+00	-1.72E+00	-4.86E+00
v	-1.77E-01	-4.55E-01	-5.80E+00
v	-2.74E-01	-2.96E+00	-3.76E+00
v	-2.42E+00	-2.17E+00	-4.25E+00
v	-8.82E-01	-3.16E+00	-3.14E+00
v	-1.57E+00	-3.44E+00	-2.41E+00
v	-3.18E+00	-2.66E+00	-3.64E+00
v	-2.42E+00	-3.01E+00	-3.00E+00
v	-1.16E-01	-2.18E+00	4.18E+00
v	1.59E+00	-2.40E+00	4.15E+00
v	6.47E-01	-2.89E-01	5.26E+00
v	-1.16E-01	-8.69E-01	4.99E+00
v	-8.77E-01	-1.49E+00	4.59E+00
v	6.69E-01	-2.77E+00	3.62E+00
v	2.21E+00	-1.69E+00	4.67E+00
v	1.42E+00	-9.05E-01	5.02E+00
v	3.88E+00	-5.37E+00	-1.34E+00
v	4.48E+00	-5.34E+00	-2.11E+00
v	6.05E+00	-5.78E+00	-2.59E+00
v	6.19E+00	-6.43E+00	-1.33E+00
v	5.61E+00	-6.42E+00	-5.51E-01
v	5.06E+00	-5.26E+00	-2.81E+00
v	4.46E+00	-5.86E+00	-5.42E-01
v	4.59E+00	-4.64E+00	-3.54E+00
v	2.92E+00	-4.94E+00	-1.60E+00
v	5.43E-01	-4.13E+00	-1.53E+00
v	-8.73E-01	-3.98E+00	-1.55E+00
v	3.72E+00	-3.10E+00	4.01E+00
v	4.47E+00	-2.57E+00	4.55E+00
v	3.57E+00	-1.63E+00	4.88E+00
v	2.95E+00	-9.51E-01	5.06E+00
v	-1.65E+00	-2.07E+00	4.07E+00
v	-1.10E-01	-2.84E+00	2.49E+00
v	-7.01E+00	-3.18E+00	2.05E+00
v	-6.24E+00	-3.39E+00	1.41E+00
v	-5.48E+00	-3.13E+00	2.01E+00
v	-5.48E+00	-2.13E+00	3.42E+00
v	-7.00E+00	-2.17E+00	3.43E+00
v	-7.69E+00	-2.81E+00	2.67E+00
v	-4.71E+00	-2.75E+00	2.58E+00
v	-6.25E+00	-1.82E+00	3.84E+00
v	7.57E+00	5.11E+00	1.46E+00
v	9.16E+00	4.21E+00	2.49E+00
v	8.34E+00	4.63E+00	5.88E-01
v	8.19E+00	4.74E+00	2.33E+00
v	4.65E+00	4.48E+00	-1.80E+00
v	6.16E+00	3.34E+00	-2.79E+00
v	6.78E+00	3.37E+00	-2.01E+00
v	6.82E+00	4.17E+00	-6.58E-01
v	5.25E+00	4.51E+00	-1.03E+00
v	5.20E+00	3.94E+00	-2.60E+00
v	7.36E+00	3.53E+00	-1.38E+00
v	5.85E+00	4.65E+00	-3.67E-01
v	7.60E+00	2.06E+00	-3.77E+00
v	8.31E+00	2.32E+00	-3.05E+00
v	8.29E+00	3.05E+00	-1.77E+00
v	6.51E+00	2.76E+00	-3.43E+00
v	9.08E+00	2.57E+00	-2.50E+00
v	1.06E+01	2.70E+00	-2.43E+00
v	9.85E+00	2.32E+00	-3.06E+00
v	9.08E+00	3.44E+00	-1.05E+00
v	1.24E+01	-4.73E+00	-3.87E+00
v	1.37E+01	-5.83E+00	-2.63E+00
v	1.37E+01	-3.66E+00	-2.60E+00
v	1.26E+01	-3.88E+00	-3.43E+00
v	1.27E+01	-5.67E+00	-3.48E+00
v	1.40E+01	-4.75E+00	-2.41E+00
v	1.18E+01	-3.66E+00	-4.15E+00
v	1.07E+01	-3.68E+00	-4.72E+00
v	6.76E+00	2.90E+00	4.43E+00
v	8.31E+00	2.41E+00	4.07E+00
v	7.48E+00	5.43E-01	5.37E+00
v	6.61E+00	1.61E+00	5.14E+00
v	6.02E+00	2.31E+00	5.00E+00
v	7.74E+00	3.13E+00	3.98E+00
v	8.54E+00	1.01E+00	4.78E+00
v	4.46E+00	4.75E+00	1.55E+00
v	5.39E+00	4.73E+00	2.34E+00
v	3.79E+00	3.78E+00	3.45E+00
v	2.95E+00	4.00E+00	2.51E+00
v	3.55E+00	4.44E+00	1.68E+00
v	5.24E+00	4.01E+00	3.52E+00
v	4.54E+00	-5.69E+00	1.50E+00
v	5.57E+00	-5.69E+00	2.33E+00
v	5.36E+00	-4.56E+00	3.43E+00
v	3.72E+00	-4.24E+00	3.04E+00
v	3.56E+00	-5.17E+00	1.66E+00
v	4.47E+00	-3.80E+00	3.77E+00
v	6.02E+00	-5.34E+00	3.05E+00
v	6.02E+00	-4.28E+00	4.09E+00
v	6.60E+00	-6.07E+00	2.72E+00
v	7.55E+00	-5.92E+00	3.59E+00
v	7.54E+00	-4.77E+00	4.62E+00
v	6.62E+00	-3.88E+00	4.72E+00
v	-5.48E+00	-3.02E+00	-2.69E+00
v	-7.01E+00	-3.01E+00	-2.69E+00
v	-6.25E+00	-3.21E+00	-2.17E+00
v	1.05E+01	1.74E+00	-3.47E+00
v	1.11E+01	5.12E-01	-3.47E+00
v	1.22E+01	7.32E-01	-2.73E+00
